case_id,date,h2_injected_tonnes,h2_withdrawn_tonnes,net_flow_tonnes,month
UHS-A,2024-01-01,92.949,7.869,85.08,2024-01
UHS-A,2024-01-02,427.598,0.0,427.598,2024-01
UHS-A,2024-01-03,425.992,0.0,425.992,2024-01
UHS-A,2024-01-04,0.0,22.876,-22.876,2024-01
UHS-A,2024-01-05,0.0,373.527,-373.527,2024-01
UHS-A,2024-01-06,60.111,34.261,25.85,2024-01
UHS-A,2024-01-07,0.0,0.0,0.0,2024-01
UHS-A,2024-01-08,0.0,71.103,-71.103,2024-01
UHS-A,2024-01-09,0.0,92.184,-92.184,2024-01
UHS-A,2024-01-10,313.49,69.511,243.979,2024-01
UHS-A,2024-01-11,18.366,188.999,-170.632,2024-01
UHS-A,2024-01-12,72.38,74.073,-1.693,2024-01
UHS-A,2024-01-13,133.173,183.459,-50.286,2024-01
UHS-A,2024-01-14,139.957,0.0,139.957,2024-01
UHS-A,2024-01-15,35.12,341.455,-306.335,2024-01
UHS-A,2024-01-16,0.0,101.43,-101.43,2024-01
UHS-A,2024-01-17,191.612,124.231,67.381,2024-01
UHS-A,2024-01-18,118.912,0.0,118.912,2024-01
UHS-A,2024-01-19,0.0,134.708,-134.708,2024-01
UHS-A,2024-01-20,0.0,162.432,-162.432,2024-01
UHS-A,2024-01-21,213.522,0.0,213.522,2024-01
UHS-A,2024-01-22,156.408,0.0,156.408,2024-01
UHS-A,2024-01-23,0.0,105.2,-105.2,2024-01
UHS-A,2024-01-24,0.0,0.0,0.0,2024-01
UHS-A,2024-01-25,4.95,99.094,-94.144,2024-01
UHS-A,2024-01-26,160.824,0.0,160.824,2024-01
UHS-A,2024-01-27,290.448,0.0,290.448,2024-01
UHS-A,2024-01-28,49.262,89.492,-40.229,2024-01
UHS-A,2024-01-29,275.242,1.798,273.444,2024-01
UHS-A,2024-01-30,215.347,0.0,215.347,2024-01
UHS-A,2024-01-31,79.51,266.411,-186.901,2024-01
UHS-A,2024-02-01,0.0,0.0,0.0,2024-02
UHS-A,2024-02-02,0.0,458.455,-458.455,2024-02
UHS-A,2024-02-03,190.618,0.0,190.618,2024-02
UHS-A,2024-02-04,0.0,116.981,-116.981,2024-02
UHS-A,2024-02-05,64.659,311.831,-247.172,2024-02
UHS-A,2024-02-06,245.319,285.105,-39.786,2024-02
UHS-A,2024-02-07,72.666,364.107,-291.442,2024-02
UHS-A,2024-02-08,0.0,0.0,0.0,2024-02
UHS-A,2024-02-09,0.0,0.0,0.0,2024-02
UHS-A,2024-02-10,210.047,86.686,123.361,2024-02
UHS-A,2024-02-11,140.289,182.465,-42.175,2024-02
UHS-A,2024-02-12,0.0,48.542,-48.542,2024-02
UHS-A,2024-02-13,262.769,0.0,262.769,2024-02
UHS-A,2024-02-14,220.222,127.225,92.997,2024-02
UHS-A,2024-02-15,411.761,18.409,393.351,2024-02
UHS-A,2024-02-16,162.813,16.049,146.764,2024-02
